,title,publishedAt,channelName,duration,viewCount,likeCount,commentCount,comments
RyoNwBxATng,World of Warcraft: Hardcore Classic - Leveling a Human Paladin | Part 7 | Level 18 - 20,2025-08-19,Myth308,12185.0,105.0,3.0,1.0,['Pog!']
AVDBM159WjE,World of Warcraft: The Burning Crusade,2025-08-19,World of WarCraft: Classic,7319.0,2.0,0.0,0.0,[]
SNUV6mWyVhM,World of Warcraft герыч,2025-08-19,Twister Play,11623.0,14.0,0.0,0.0,[]
JnDxDJNXPc0,Chill retail stream | Gamescom tomorrow! | World of Warcraft : The War Within | Retribution paladin,2025-08-19,Akcope,5829.0,6566.0,9.0,0.0,[]
hsAfDwkPX6s,World of Warcraft TWW Season 3! 8! pushing to 10!,2025-08-19,RogueHavikk,16089.0,3.0,1.0,1.0,['RAGING!']
dMI9GLuQdrU,"Playing War Within, World of Warcraft - Taking 80s Through Delves and Completing Weekly Quests!",2025-08-19,WowMittensMeow,15015.0,134.0,0.0,0.0,[]
eXf-KtiDmTc,¡EN VIVO! World of Warcraft 11.2 | Gameplay en Steam Deck (Portrait),2025-08-19,Jqn,9095.0,1785.0,5.0,0.0,[]
9Oo3RjQXxK4,Frost Death Knight World of Warcraft - I&#39;m Back Baby!!!!~,2025-08-19,Knomzologist,19778.0,9843.0,20.0,0.0,[]
1766pZN0TaQ,Hardcore WOW 20 mans and lvling (NO WORLD BUFFS),2025-08-19,Ahmpy,34797.0,4531.0,38.0,0.0,[]
AncOFezdh80,Levelling Balance Druid (6) 85+ | Pandaria | World of Warcraft Classic,2025-08-19,Hu5ky,14057.0,78.0,0.0,0.0,[]
vEjg7EPGmyU,World of Warcraft,2025-08-19,OsskurrTV,7331.0,1904.0,5.0,0.0,[]
m8MJUnL4LKU,The Prophet Rising - Project Epoch - World Of Warcraft - WoW,2025-08-19,Rebel Squadron,26300.0,244.0,5.0,0.0,[]
jvGIAQ77umU,World of Warcraft 直播,2025-08-19,BiYuan Liu,13101.0,0.0,0.0,0.0,[]
XeaePdRdwls,Der Kampf mit der Streamperformence in World of Warcraft,2025-08-19,Redeye Gaming,3412.0,3.0,0.0,0.0,[]
gzTl8eJ8WjU,Completando quests em Hinterlands | World of Warcraft,2025-08-19,Toloi Games,13448.0,2451.0,216.0,7.0,"['👍👍', 'Hype toloi 530😂', 'Muito bom 😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉', 'Toloi safado tava fazendo live e nem  chama']"
